source_id,area1,action,location,site,plot,area2,transition,survival,log_size,log_size_next,id,repro,flower_n,flower_n_int
M08_69_2021,138.56,same,Maguey,8,69,139.4781443298969,t1,1,4.931303444814125,4.93790791751689,151,1,2.4790785369343395,2
M08_69_2021,7.69,same,Maguey,8,69,7.765257731958763,t1,1,2.0399207835175526,2.049659647544836,152,0,0,0
M08_69_2021,9.94,shrink,Maguey,8,69,7.561855670103093,t1,1,2.2965670206684825,2.0231166190796537,153,0,0,0
M08_69_2021,87.27,shrink,Maguey,8,69,75.96628865979382,t1,1,4.46900676117522,4.330289671614069,154,0,0,0
M08_69_2021,68.95,shrink,Maguey,8,69,58.47412371134021,t1,1,4.233381604239311,4.068584326660482,155,0,0,0
M08_69_2021,25.08,shrink,Maguey,8,69,20.970927835051548,t1,1,3.22207071576472,3.043137089764841,156,0,0,0
M08_69_2021,22.88,shrink,Maguey,8,69,13.322268041237113,t1,1,3.130263166511597,2.5894369239835284,157,0,0,0
M08_69_2021,18.99,shrink,Maguey,8,69,15.558247422680411,t1,1,2.9439125248241944,2.7445908789027866,158,0,0,0
M08_69_2021,16.84,shrink,Maguey,8,69,13.415773195876287,t1,1,2.8237570088141806,2.5964311188828,159,0,0,0
M08_69_2021,142.47,shrink,Maguey,8,69,134.86896907216496,t1,1,4.9591314512291405,4.904303707636313,160,0,0,0
M08_69_2021,1.29,shrink,Maguey,8,69,1.131958762886598,t1,1,0.25464221837358075,0.12394955057204741,161,0,0,0
M08_69_2021,83.36,shrink,Maguey,8,69,76.3459793814433,t1,1,4.423168578005057,4.33527536991711,162,0,0,0
M08_69_2021,153.02,shrink,Maguey,8,69,136.82453608247422,t1,1,5.030568631803706,4.9186993464338755,163,1,2.5289814068924708,3
M08_69_2021,2.28,shrink,Maguey,8,69,1.6478350515463918,t1,1,0.8241754429663494,0.49946233639686055,164,0,0,0
M08_69_2021,38.28,shrink,Maguey,8,69,31.017628865979383,t1,1,3.6449275665847534,3.434555715947985,165,0,0,0
M08_69_2021,25.72,shrink,Maguey,8,69,11.962886597938144,t1,1,3.2472688993694185,2.4818090737438663,166,0,0,0
M08_69_2021,37.6,shrink,Maguey,8,69,22.79680412371134,t1,1,3.6270040503958487,3.1266203561230004,167,0,0,0
M08_69_2021,3.36,shrink,Maguey,8,69,2.6902061855670105,t1,1,1.2119409739751128,0.9896178395860395,168,0,0,0
M08_69_2021,137.97,shrink,Maguey,8,69,109.22154639175258,t1,1,4.927036270219942,4.69337835512728,169,1,2.4769333310941035,2
M08_69_2021,10.35,shrink,Maguey,8,69,8.98783505154639,t1,1,2.336986519711378,2.195872002079291,170,0,0,0
M08_69_2021,44.04,shrink,Maguey,8,69,22.290515463917526,t1,1,3.785098311854479,3.1041612724743803,171,0,0,0
M08_69_2021,120.11,shrink,Maguey,8,69,99.80546391752577,t1,1,4.788407989566399,4.603222930491367,172,0,0,0
M08_69_2021,69.85,shrink,Maguey,8,69,40.732783505154636,t1,1,4.246350085702971,3.7070332597414906,173,0,0,0
M08_69_2021,114.26,shrink,Maguey,8,69,102.7079381443299,t1,1,4.738476553296317,4.631889408439462,174,0,0,0
M08_69_2021,27.44,shrink,Maguey,8,69,24.6780412371134,t1,1,3.3120018028576843,3.2059138294820535,175,0,0,0
M08_69_2021,63.57,shrink,Maguey,8,69,59.829690721649484,t1,1,4.152141660948318,4.091502038103095,176,0,0,0
M08_69_2021,30.41,shrink,Maguey,8,69,26.21061855670103,t1,1,3.4147715016892732,3.2661646170835854,177,0,0,0
M08_69_2021,21.93,shrink,Maguey,8,69,19.062680412371133,t1,1,3.0878555624297968,2.9477325185783796,178,0,0,0
M08_69_2021,86.73,shrink,Maguey,8,69,77.66896907216494,t1,1,4.462799844696365,4.352455809164182,179,0,0,0
M08_69_2021,76.53,shrink,Maguey,8,69,65.52731958762887,t1,1,4.33768282082183,4.182467148623023,180,0,0,0
M08_69_2021,5.39,shrink,Maguey,8,69,4.426701030927835,t1,1,1.6845453849209058,1.487654618360852,181,0,0,0
M08_69_2021,11.75,shrink,Maguey,8,69,9.8459793814433,t1,1,2.463853240590168,2.287063187228931,182,0,0,0
M08_69_2021,34.95,shrink,Maguey,8,69,10.257938144329898,t1,1,3.5539184686798193,2.3280518589557104,183,0,0,0
M08_69_2021,26.7,shrink,Maguey,8,69,25.586185567010308,t1,1,3.2846635654062037,3.2420525795461907,184,0,0,0
M08_69_2021,48.03,shrink,Maguey,8,69,43.62742268041237,t1,1,3.871825815676733,3.7756859132021106,185,0,0,0
M08_69_2021,14.31,shrink,Maguey,8,69,12.345773195876289,t1,1,2.6609585935683597,2.513313753146578,186,0,0,0
M08_69_2021,7.06,shrink,Maguey,8,69,6.661134020618556,t1,1,1.9544450515051506,1.896289743423583,187,0,0,0
