source_id,area1,area2,action,location,site,plot,survival,log_size,log_size_next,id,transition,repro,flower_n,flower_n_int
M08_69_2022,4.39,5.56,grow,Maguey,8,69,1,1.47932922708708,1.715598108262491,121,t2,0,0,0
M08_69_2022,4.01,4.32,grow,Maguey,8,69,1,1.3887912413184778,1.463255402256019,122,t2,0,0,0
M08_69_2022,2.82,7.9,grow,Maguey,8,69,1,1.0367368849500223,2.066862759472976,123,t2,0,0,0
M08_69_2022,14.56,15.78,grow,Maguey,8,69,1,2.67827804276854,2.7587433154177283,124,t2,0,0,0
M08_69_2022,15.48,22.79,grow,Maguey,8,69,1,2.739548868161581,3.126321843257593,125,t2,0,0,0
M08_69_2022,3.94,6.46,grow,Maguey,8,69,1,1.3711807233098425,1.8656293177945105,126,t2,0,0,0
M08_69_2022,2.45,6.48,grow,Maguey,8,69,1,0.8960880245566357,1.8687205103641833,127,t2,0,0,0
M08_69_2022,1.08,2.05,grow,Maguey,8,69,1,0.0769610411361284,0.7178397931503168,128,t2,0,0,0
M08_69_2022,2.28,4.77,grow,Maguey,8,69,1,0.8241754429663494,1.5623463049002497,129,t2,0,0,0
M08_69_2022,1.17,2.64,grow,Maguey,8,69,1,0.1570037488096647,0.9707789171582248,130,t2,0,0,0
M08_69_2022,55.03,56.05,same,Maguey,8,69,1,4.007878491071668,4.026244149518169,131,t2,0,0,0
M08_69_2022,12.29,12.17,same,Maguey,8,69,1,2.5087859235779435,2.498973906999436,132,t2,0,0,0
M08_69_2022,61.56,62.75,same,Maguey,8,69,1,4.120012308970678,4.139158578011894,133,t2,0,0,0
M08_69_2022,18.73,18.55,same,Maguey,8,69,1,2.930126516455997,2.920469789053444,134,t2,0,0,0
M08_69_2022,83.86,84.01,same,Maguey,8,69,1,4.429148741742616,4.4309358393767555,135,t2,0,0,0
M08_69_2022,95.42,93.35,same,Maguey,8,69,1,4.5582882000879605,4.536355869987732,136,t2,0,0,0
M08_69_2022,41.41,42.54,same,Maguey,8,69,1,3.723522397557476,3.750444809772091,137,t2,0,0,0
M08_69_2022,57.57,57.14,same,Maguey,8,69,1,4.053001598687718,4.045504396802627,138,t2,0,0,0
M08_69_2022,58.6,58.81,same,Maguey,8,69,1,4.070734696582967,4.074311908471865,139,t2,0,0,0
M08_69_2022,5.7,5.7,same,Maguey,8,69,1,1.7404661748405046,1.7404661748405046,140,t2,0,0,0
M08_69_2022,31.46,32.99,same,Maguey,8,69,1,3.4487168976301317,3.49620448524049,141,t2,0,0,0
M08_69_2022,7.71,7.45,same,Maguey,8,69,1,2.0425181875752383,2.0082140323914683,142,t2,0,0,0
M08_69_2022,48.65,50.35,same,Maguey,8,69,1,3.884651808632014,3.9189986191645714,143,t2,0,0,0
M08_69_2022,131.53,128.02,same,Maguey,8,69,1,4.8792349624806874,4.852186501713858,144,t2,1,0.5259065013438897,1
M08_69_2022,2.47,2.46,same,Maguey,8,69,1,0.9042181506398859,0.9001613499442714,145,t2,0,0,0
M08_69_2022,6.78,2.25,shrink,Maguey,8,69,1,1.9139771019523042,0.8109302162163288,146,t2,0,0,0
M08_69_2022,72.25,54.92,shrink,Maguey,8,69,1,4.2801323269925415,4.00587758089977,147,t2,0,0,0
M08_69_2022,121.94,108.15,shrink,Maguey,8,69,1,4.80352912047967,4.683519152399068,148,t2,1,0.5177465756989468,1
M08_69_2022,132.37,86.17,shrink,Maguey,8,69,1,4.885601031725679,4.4563220892516755,149,t2,1,0.5265926657179547,1
M08_69_2022,63.59,45.06,shrink,Maguey,8,69,1,4.152456225279317,3.8079949350040985,150,t2,0,0,0
M08_69_2022,17.37,14.69,shrink,Maguey,8,69,1,2.854744580253014,2.6871669901857858,151,t2,0,0,0
M08_69_2022,33.66,27.75,shrink,Maguey,8,69,1,3.51631018876266,3.3232358401924436,152,t2,0,0,0
M08_69_2022,19.25,16.94,shrink,Maguey,8,69,1,2.9575110607337933,2.8296776892239084,153,t2,0,0,0
M08_69_2022,23.82,17.94,shrink,Maguey,8,69,1,3.170525563927154,2.88703285663065,154,t2,0,0,0
M08_69_2022,131.5,122.06,shrink,Maguey,8,69,1,4.879006851617819,4.804512727116349,155,t2,0,0,0
M08_69_2022,13.74,12.46,shrink,Maguey,8,69,1,2.620311286794203,2.522523513359307,156,t2,0,0,0
M08_69_2022,28.63,25.11,shrink,Maguey,8,69,1,3.354455119110024,3.2232661731694936,157,t2,0,0,0
M08_69_2022,59.54,10.74,shrink,Maguey,8,69,1,4.086648355587631,2.3739750890807185,158,t2,0,0,0
M08_69_2022,34.37,12.56,shrink,Maguey,8,69,1,3.5371840908617425,2.5305171610400525,159,t2,0,0,0
M08_69_2022,17.93,7.45,shrink,Maguey,8,69,1,2.8864752876170416,2.0082140323914683,160,t2,0,0,0
