source_id,site,plot,area1,action,location,area2,transition,survival,log_size,log_size_next,id,repro,flower_n,flower_n_int,cytes_per_polyp,polyps_per_cm2,seeds_exp,seeds_pois,totaloocytes
M08_69_2021,8,69,0,born,Maguey,1.1138144329896909,t1,NA,NA,0.10779055042103211,147,NA,NA,NA,2.156605232034654,17.119284043691046,NA,0,NA
M08_69_2021,8,69,0,born,Maguey,1.9868041237113403,t1,NA,NA,0.6865273798032332,148,NA,NA,NA,2.206278183004988,17.94151152621369,NA,0,NA
M08_69_2021,8,69,0,born,Maguey,1.2116494845360826,t1,NA,NA,0.19198264164138001,149,NA,NA,NA,1.1761353002733774,17.635421808815654,NA,0,NA
M08_69_2021,8,69,9.33,dead,Maguey,0,t1,0,2.2332350148592526,NA,150,0,0,0,0.7034231349275399,17,0,0,0
M08_69_2021,8,69,8.27,dead,Maguey,0,t1,0,2.1126345090356,NA,151,0,0,0,0.9298346922298822,19,0,0,0
M08_69_2021,8,69,2.02,dead,Maguey,0,t1,0,0.7030975114131134,NA,152,0,0,0,0.8395257695011015,17,0,0,0
M08_69_2021,8,69,1.82,dead,Maguey,0,t1,0,0.598836501088704,NA,153,0,0,0,0.7960842002265571,19,0,0,0
M08_69_2021,8,69,1.81,dead,Maguey,0,t1,0,0.5933268452777344,NA,154,0,0,0,1.0863478435864342,17,0,0,0
M08_69_2021,8,69,2.78,dead,Maguey,0,t1,0,1.0224509277025455,NA,155,0,0,0,1.2451570098966256,18.00606834058188,0,0,0
M08_69_2021,8,69,8.1,dead,Maguey,0,t1,0,2.0918640616783932,NA,156,0,0,0,1.0039299246311382,17,0,0,0
M08_69_2021,8,69,3.79,dead,Maguey,0,t1,0,1.332366019094335,NA,157,0,0,0,1.0273748040974846,18.85291845951103,0,0,0
M08_69_2021,8,69,1.7,dead,Maguey,0,t1,0,0.5306282510621704,NA,158,0,0,0,2.480826285043191,17,0,0,0
M08_69_2021,8,69,3.18,dead,Maguey,0,t1,0,1.1568811967920856,NA,159,0,0,0,1.6544928864088897,17,0,0,0
M08_69_2021,8,69,42.33,dead,Maguey,0,t1,0,3.745496054532832,NA,160,0,0,0,0.8920212381599533,19,0,0,0
M08_69_2021,8,69,3.28,dead,Maguey,0,t1,0,1.1878434223960523,NA,161,0,0,0,1.0351213091948999,19,0,0,0
M08_69_2021,8,69,106.92,dead,Maguey,0,t1,0,4.672080891270718,NA,162,1,1.4960797004454667,1,0.4099726040232073,19,0.5214097700331034,0,1
